ortho	phon	lemme	cgram	cgramortho	genre	nombre	infover	syll_cv	orthosyll_cv	freqlivres	freqfilms2
comprises	k§pRiz	compris	ADJ	VER,ADJ	f	p		k_§|p_R_i_z_#	c_om|p_r_i_s_es	0.34	0.37
comprisse	k§pRis	comprendre	VER	VER			sub:imp:1s;	k_§|p_R_i_s_#	c_om|p_r_i_ss_e	0.27	0.0
comprit	k§pRi	comprendre	VER	VER			ind:pas:3s;	k_§|p_R_i	c_om|p_r_it	36.62	1.74
compromet	k§pRomE	compromettre	VER	VER			ind:pre:3s;	k_§|p_R_o|m_E_#	c_om|p_r_o|m_e_t	0.41	0.9
compromets	k§pRomE	compromettre	VER	VER			imp:pre:2s;ind:pre:1s;ind:pre:2s;	k_§|p_R_o|m_E_#	c_om|p_r_o|m_e_ts	0.27	0.34
compromettaient	k§pRomEtE	compromettre	VER	VER			ind:imp:3p;	k_§|p_R_o|m_E|t_E	c_om|p_r_o|m_e|tt_aient	0.14	0.03
compromettait	k§pRomEtE	compromettre	VER	VER			ind:imp:3s;	k_§|p_R_o|m_E|t_E	c_om|p_r_o|m_e|tt_ait	1.15	0.02
compromettant	k§pRomEt@	compromettant	ADJ	ADJ,VER	m	s		k_§|p_R_o|m_E|t_@	c_om|p_r_o|m_e|tt_ant	0.88	0.75
compromettant	k§pRomEt@	compromettre	VER	ADJ,VER			par:pre;	k_§|p_R_o|m_E|t_@	c_om|p_r_o|m_e|tt_ant	0.0	0.04
compromettante	k§pRomEt@t	compromettant	ADJ	ADJ	f	s		k_§|p_R_o|m_E|t_@_t_#	c_om|p_r_o|m_e|tt_an_t_e	0.54	0.21
compromettantes	k§pRomEt@t	compromettant	ADJ	ADJ	f	p		k_§|p_R_o|m_E|t_@_t_#	c_om|p_r_o|m_e|tt_an_t_es	0.47	0.32
compromettants	k§pRomEt@	compromettant	ADJ	ADJ	m	p		k_§|p_R_o|m_E|t_@_#	c_om|p_r_o|m_e|tt_an_ts	0.74	0.35
compromette	k§pRomEt	compromettre	VER	VER			sub:pre:3s;	k_§|p_R_o|m_E_t_#	c_om|p_r_o|m_e_tt_e	0.07	0.14
compromettent	k§pRomEt	compromettre	VER	VER			ind:pre:3p;	k_§|p_R_o|m_E_t_#	c_om|p_r_o|m_e_tt_ent	0.27	0.06
compromettes	k§pRomEt	compromettre	VER	VER			sub:pre:2s;	k_§|p_R_o|m_E_t_#	c_om|p_r_o|m_e_tt_es	0.07	0.01
compromettez	k§pRomEte	compromettre	VER	VER			imp:pre:2p;ind:pre:2p;	k_§|p_R_o|m_E|t_e	c_om|p_r_o|m_e|tt_ez	0.07	0.27
compromettiez	k§pRomEtje	compromettre	VER	VER			ind:imp:2p;	k_§|p_R_o|m_E|t_j_e	c_om|p_r_o|m_e|tt_i_ez	0.2	0.04
compromettrai	k§pRomEtRe	compromettre	VER	VER			ind:fut:1s;	k_§|p_R_o|m_E|t_R_e	c_om|p_r_o|m_e|tt_r_ai	0.07	0.01
compromettrait	k§pRomEtRE	compromettre	VER	VER			cnd:pre:3s;	k_§|p_R_o|m_E|t_R_E	c_om|p_r_o|m_e|tt_r_ait	0.41	0.46
compromettre	k§pRomEtR	compromettre	VER	VER			inf;	k_§|p_R_o|m_E_t_R_#	c_om|p_r_o|m_e_tt_r_e	6.42	3.84
compromettrons	k§pRomEtR§	compromettre	VER	VER			ind:fut:1p;	k_§|p_R_o|m_E|t_R_§	c_om|p_r_o|m_e|tt_r_ons	0.0	0.01
compromirent	k§pRomiR	compromettre	VER	VER			ind:pas:3p;	k_§|p_R_o|m_i_R_#	c_om|p_r_o|m_i_r_ent	0.07	0.0
